Username,User ID,Skill Rating,Title
daxeroz,1170156,3649,Master
Niisan,19515018,3648,Master
Pekorrat,1250096,3647,Master
tsubaki131,3749666,3647,Master
Soruki,11762423,3644,Master
Latifah-sama,1226238,3642,Master
ExNando,5960935,3641,Master
Cyan54,7931526,3638,Master
-Nirfu-,7332050,3634,Master
Nikaido Shinku,2455926,3631,Master
Zyonii,9519851,3629,Master
Zellen,17405762,3625,Master
-Rindou-,7941971,3619,Master
littlepiggod,12331683,3617,Master
Shu,4744615,3616,Master
[224]Reol,3313041,3614,Master
DevilFace,2253026,3613,Master
Pitsuwa,8417565,3611,Master
DataPata,985360,3609,Master
S B K,29783499,3609,Master
Kosmit,1749173,3606,Master
Adeus,2693723,3605,Master
Nekuro,3222638,3603,Master
hiroshiki,2667256,3602,Master
fireyun06,6583168,3600,Master
Kaare,4434640,3598,Master
He Ang CTB,2451381,3597,Master
[Kaffu Chile],10681880,3588,Master
Firu,10516547,3585,Master
[ Zhiend ],7474404,3584,Master
Ritmo Brigido,5124924,3578,Master
Syine,4795737,3576,Master
Playboy,2165558,3575,Master
Juansy-,12588215,3575,Master
Tris,3821475,3574,Master
HelpMePleasee,10835397,3573,Master
lorem ipsum,17130789,3571,Master
_aphantasia,10663877,3571,Master
Eu4ria,26695963,3570,Master
autofanboy,636114,3566,Master
KevKjef,9114235,3564,Master
Beepu,4958376,3561,Master
Sousaki,1599349,3561,Master
Cowboy,1237535,3551,Master
Bomb,10218998,3550,Master
masterpiece,6647589,3549,Master
Primakien,23941998,3549,Master
Azuria,16102533,3548,Master
[ Ajia ],17578266,3547,Master
ItsJ0el,5586377,3543,Master
theconqueror12,11660900,3541,Master
Snowwind,2163585,3540,Master
Shimoe Koharu,2145160,3539,Master
-Ken,4430811,3539,Master
yukinya,22136262,3539,Master
- N a g i -,2956936,3538,Master
my cutie,10742890,3535,Master
Gwelawyr,2055184,3535,Master
islux,5477873,3529,Master
Acooler,5235352,3521,Master
Paku-,7385701,3520,Master
ChewyTarTar,13978275,3519,Master
Aceon,4452911,3517,Master
-Mitsu,4238448,3517,Master
Withered Lotus,3546931,3514,Master
Petit,4637369,3508,Master
LeWind,9718235,3502,Master
Yuno4life,6477025,3501,Master
Lovefool,4786306,3494,Expert
EternityMoon,1957752,3493,Expert
Ascendance,2931883,3491,Expert
mikuoo,2213572,3491,Expert
Kowaii_ne,2213794,3491,Expert
zelatra,3962365,3490,Expert
Lechu FAQ 35P,2872000,3488,Expert
Metalia,15558360,3485,Expert
Zonemax,7998028,3484,Expert
Moofu,12189647,3481,Expert
woodpamp,3809967,3476,Expert
wwwww,8434466,3473,Expert
e0486,1840467,3472,Expert
yakami-light,4479729,3470,Expert
Adisi,12182399,3467,Expert
Leithanien,4533507,3465,Expert
RAMPAGE88,448547,3463,Expert
Hareimu,4138746,3463,Expert
Chiya--,7934854,3461,Expert
Sakurano  Kurimu,1338103,3460,Expert
amni dt,5166056,3458,Expert
DateLix,9200197,3456,Expert
Callixtro,8673833,3455,Expert
blacklotus,2115337,3453,Expert
eldnl,285756,3452,Expert
[0v0],12904746,3447,Expert
Happiness Fish,4586766,3446,Expert
Nealth,4564521,3443,Expert
Furely,853694,3442,Expert
- B e a t e r -,5238162,3441,Expert
Destroid,5097844,3441,Expert
Nerea,18660354,3440,Expert
Cyanus,4624693,3440,Expert
Azeidith,2819676,3439,Expert
Yoomara,3123719,3438,Expert
-Navillera,1162516,3438,Expert
Emba,5052507,3438,Expert
Snowless,4316266,3437,Expert
VagaNNN,1260040,3436,Expert
Hisashi Shimoro,6736420,3435,Expert
Zuleta_,10287019,3432,Expert
7Stalker,5400828,3432,Expert
Enjuxx,10727985,3432,Expert
Intention,3416858,3431,Expert
Talicrons,6264535,3430,Expert
Akaza Naoyasu,25880514,3430,Expert
Cxlucha,5063961,3429,Expert
Mawile,12256216,3427,Expert
gfbgd1,6061811,3427,Expert
-Naroh,9087831,3425,Expert
Hibari_Yagyu,3093873,3422,Expert
[224]Two,9019507,3421,Expert
Madoka Ayukawa,1595221,3421,Expert
cosilgam,15960747,3416,Expert
Noulayfe,4316542,3415,Expert
Vioxen,11388689,3415,Expert
nikismm,16756763,3413,Expert
Melu,2624179,3412,Expert
yeeeter,15274666,3409,Expert
I CAN FC,2086828,3407,Expert
vistafan12,8301609,3405,Expert
noraRcat,883939,3400,Expert
4rcheR-,8846762,3400,Expert
Rubytic,1688325,3396,Expert
Jacques Chirac,18818124,3392,Expert
noksu,10161144,3390,Expert
Zephirine,9629190,3387,Expert
chickennando,5818665,3384,Expert
Astrea,3845678,3384,Expert
Airdown,2788013,3384,Expert
dazzulay,1948043,3384,Expert
CrimsonPleaseee,3743985,3383,Expert
Deceitful,1396447,3382,Legend
Boltico,5297904,3381,Expert
Taishi-,2349221,3376,Expert
Souvenir,14057792,3374,Expert
Im Charlotte,9870318,3374,Expert
shimu,14318796,3372,Expert
bastoo0,4864877,3371,Expert
Fuyuka-,10597843,3370,Expert
Mawers,14522883,3369,Expert
-Puddin,14235333,3365,Expert
[225]nullCat,17738253,3364,Expert
iDestiny_,15923034,3361,Expert
Sagatz,11393244,3358,Expert
Galaxi,2552435,3357,Expert
Kasumi-sama,6177263,3354,Expert
Infamous Shadow,1264755,3353,Expert
Fluttr,4202284,3353,Expert
Kurtsi,4222176,3351,Expert
set44599,605088,3350,Expert
DarnedUrchin,4928846,3350,Expert
edward_elric08,23680566,3347,Expert
Aliccia,16579711,3346,Expert
Gly,1916847,3345,Expert
lineqtxz,989542,3342,Expert
Aidle,6829347,3341,Expert
DerTastertur,29332947,3340,Expert
CTB Sakamata1,11735313,3339,Expert
CheungB,788406,3337,Expert
xha,10378635,3335,Expert
Shyeart,2022144,3335,Expert
sayun,3770603,3335,Expert
Eta UMa,9740698,3333,Expert
Danielstigman,9407594,3331,Expert
AgentYous,255854,3331,Expert
Roasted Chicken,9461160,3331,Expert
Shinji Wings,5071280,3330,Expert
Zak,1375955,3328,Expert
fayew,12498861,3324,Expert
Predominador,4568537,3322,Expert
Zvenx,14613788,3322,Expert
Deif,318565,3320,Expert
Rebbel,4595355,3317,Expert
nonamer mr,14169441,3316,Expert
-Miya,1942877,3310,Expert
Skyleia,2958293,3309,Expert
LaviSorrow,9966768,3306,Expert
ItsLingers,1449322,3306,Expert
mothernature,6403418,3301,Expert
_Misti,10605929,3301,Expert
Jafett,2317102,3301,Expert
Hiroto-,14917517,3299,Expert
Elux,12004983,3298,Expert
Kukkai,7811952,3297,Expert
Keita,3355617,3297,Expert
Vadeblade,7828945,3296,Expert
Becka,16552460,3296,Expert
CelegaS,1552429,3294,Expert
Aerene,4818935,3293,Expert
ChrisS3097,4400693,3292,Expert
Kitakami,6347308,3291,Expert
0spa,14174873,3291,Expert
KagamineRin02,518503,3290,Expert
-liunya,12584928,3289,Expert
[silvercrow],8134297,3289,Expert
GamerYt500,19851602,3287,Expert
XMarioAdvZ,7329917,3286,Expert
Airion,11152298,3284,Expert
Tonairu,4744367,3284,Expert
Len,1686145,3280,Expert
-Yui,6649605,3278,Expert
stellar5005,8701106,3278,Expert
Mile,2760954,3277,Expert
Zileni,23525574,3277,Expert
Kegare-,12588486,3276,Expert
-Linglan Lily-,8738261,3275,Expert
Choco Moon,4318775,3274,Expert
xMakron,5928207,3274,Expert
LiL L1ghtMare,16782179,3273,Expert
Deley-,8291465,3271,Expert
Sunkiss,4219372,3270,Expert
Ambixious,7369828,3270,Expert
MakoXTsuyoshi,7262352,3267,Expert
IamSprigatito,14075389,3265,Expert
Zoel,7289244,3264,Expert
SadEgg,10278243,3264,Expert
A c o l,13596084,3263,Expert
Zeus-,5464437,3260,Expert
Renesmee,9610211,3260,Expert
-Joakh,7946084,3256,Expert
Taskmaster,3027065,3255,Expert
Andogs,4599191,3252,Expert
Ken Doll,485474,3251,Expert
Szymon9689,12367442,3250,Expert
SauroN2707,12537441,3247,Expert
Shunpo Kat,6590854,3247,Expert
_Rama,17021268,3246,Expert
[ Potemkin ],12410693,3243,Expert
T s u m i,4080520,3242,Expert
LTNS,5635563,3240,Expert
Noemark,12036156,3237,Expert
SakaNaz,1784164,3237,Expert
DesoLaTiON,18468376,3234,Expert
Loli_Remilia,2565109,3234,Expert
Magus,810070,3233,Expert
Mutsuki,9170129,3233,Expert
iiyo,2427813,3232,Expert
sasuk3x,6564824,3231,Expert
liamggss,6829111,3231,Expert
Shiina Minatsu,3515458,3229,Expert
AstralLoki,14100384,3228,Expert
Pinacea,20750658,3228,Expert
[Nico],1011240,3227,Expert
Tomoriru,10457920,3225,Expert
Pepti,8408065,3223,Expert
Endo,2052986,3222,Expert
Huytimeclock,10920086,3222,Expert
Hilda,4224529,3221,Expert
ExGunt,20136125,3220,Expert
mjj741,1459769,3218,Expert
Potato9756,13205755,3217,Expert
2wx,3398762,3216,Expert
Stats-Kun,8611935,3216,Special
Kukuryku,8298541,3214,Expert
sennkouhanabi,1700008,3213,Expert
BocDyx,7926192,3212,Expert
MechaKuchaYabai,2538257,3210,Expert
Accel,1169796,3209,Expert
Ginoshi,5398106,3208,Expert
Daihmuddah,1619007,3206,Expert
cristhofer052,9332097,3205,Expert
Black Lotus,5835067,3205,Expert
Crafterdark,6144467,3205,Expert
Ferran,10863802,3204,Expert
BINGBANGBONG,26637518,3204,Expert
Desu-,7938389,3201,Expert
manok,18569771,3197,Expert
[MG] Kyu,15753125,3197,Expert
Psc_IceRain,3359485,3193,Expert
colorcaldo,10886499,3193,Expert
Hoshizora,13135192,3192,Expert
Captain,2563435,3191,Expert
iSuck,5951283,3191,Expert
Yukiteru Amano,1894511,3190,Expert
YumeK,2390992,3190,Expert
Indy,12467500,3190,Expert
Vanilla-,3400701,3188,Expert
Sorceress,1913190,3185,Expert
Fisicia,6556054,3184,Expert
ryuiee,14685908,3183,Expert
Jeongyeon-,13956591,3183,Expert
Moja,3164010,3183,Expert
Chimbotrufio,2077521,3181,Expert
debub,24524181,3180,Expert
Sartan,4100941,3175,Expert
Rank Mask,15868630,3174,Expert
mine,19476018,3172,Expert
Novoids,5163523,3172,Expert
Lobsterr,6575915,3170,Expert
DxNightwave,2815946,3165,Expert
bokeh,5095790,3163,Expert
Kashou,4046640,3163,Expert
Umi Sonoda-,8579779,3162,Expert
Kasumizawa-Miyu,24345309,3162,Expert
Eito,10043310,3157,Expert
Zoggoth,2799946,3156,Expert
Kisetsunotori,3692648,3156,Expert
Myawaki Sakura,8403862,3154,Expert
a1007500,1936711,3150,Expert
Selo,3212806,3149,Expert
HineX,13854,3148,Expert
Asteristia,9434933,3147,Expert
Teoman,29824043,3147,Expert
Future_miku95,2351567,3145,Expert
God Gosu,7971842,3145,Expert
wordmaster,6061501,3141,Expert
-[Ketsu]-,10496305,3139,Expert
[Aless50],4339778,3138,Expert
wale wiadro,10309451,3137,Expert
PakaChan,3080727,3137,Expert
_Tsukiko,4787989,3134,Expert
IMMORTXLZ,9630769,3133,Expert
MILK_16,9137627,3131,Expert
Liyac,4994598,3130,Expert
Benita,4023183,3130,Expert
Alepe,15273403,3128,Expert
die Eisdiele,7155262,3127,Expert
fua,21138904,3125,Expert
o x,6437591,3124,Expert
Elusion,6049302,3123,Expert
Zyoulou,8668722,3123,Expert
Cookezion,12131006,3121,Expert
Tenshichan,1101600,3119,Expert
Lacrima,4915649,3119,Expert
Beizer,8383804,3117,Expert
Badis,559308,3116,Expert
Vincs,2026299,3113,Expert
Razor Sharp,3414261,3112,Expert
uppia,1513301,3110,Expert
Jasmine,4223607,3109,Expert
RussianKot,10760717,3107,Expert
TuuGamer,17458994,3105,Expert
[225]Aizen,11176520,3104,Expert
l3ssili,12123746,3102,Expert
syu,2400918,3101,Expert
Not_Toretto,17630607,3101,Expert
-Isla-,17745759,3100,Expert
Deepierro,9027099,3097,Expert
lovemathboy,4220829,3097,Expert
KingNikku,11324794,3096,Expert
dsh,1866048,3095,Expert
DUKI MODODIABLO,5169874,3095,Expert
Prince Zariel,7293637,3093,Expert
Konomachi,8811229,3093,Expert
david86,18076539,3093,Expert
DemiGodtier,8348072,3092,Expert
Renessia,34606048,3092,Expert
Furinkazan,16493863,3091,Expert
Hecatia15,3163012,3086,Expert
salchow,9738159,3084,Expert
Realmaas,6567640,3084,Expert
Seija,6443263,3081,Expert
_Nanami,1929450,3080,Expert
LieLoom,4892798,3080,Expert
